"Sample_name","rep","rank","intercept_b0","slope_b1","rsq","density","row","endrow","time","endtime","oxy","endoxy","rate","adjustment","rate.adjusted","rate.input","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output","o2","light"
"Gen01",NA,1,2687.41556321911,-93.6790213676113,0.0759,NA,97,135,23.9833333333333,33.4833333333333,154.073078,-5901.196422,-93.6790213676113,0.0939157487690124,-93.7729371163803,-93.7729371163803,"umol/L","min",0.15444,NA,0.000247847478474785,NA,NA,NA,-14.4822924082538,NA,-58432.2765653117,"umolO2/min/m2",-58432.2765653117,"Respiration",400
"Gen02",NA,1,161.43749325749,-1.08945512025387,0.966,NA,97,134,24.05,33.3,135.568713,125.231696,-1.08945512025387,0.0939157487690124,-1.18337086902289,-1.18337086902289,"umol/L","min",0.15444,NA,0.000151796696538394,NA,NA,NA,-0.182759797011894,NA,-1203.97743284004,"umolO2/min/m2",-1203.97743284004,"Respiration",400
"Gen03",NA,1,135.263266896235,-0.755869637106446,0.929,NA,98,135,24.1166666666667,33.3666666666667,117.218336,110.351888,-0.755869637106446,0.0939157487690124,-0.849785385875459,-0.849785385875459,"umol/L","min",0.15444,NA,0.000156101739588824,NA,NA,NA,-0.131240854994606,NA,-840.739221358437,"umolO2/min/m2",-840.739221358437,"Respiration",400
"Gen04",NA,1,182.985936935681,-0.74347243238866,0.802,NA,97,135,23.9333333333333,33.4333333333333,168.263261,158.537972,-0.74347243238866,0.0939157487690124,-0.837388181157673,-0.837388181157673,"umol/L","min",0.15444,NA,0.000160121244069584,NA,NA,NA,-0.129326230697991,NA,-807.676904145149,"umolO2/min/m2",-807.676904145149,"Respiration",400
"Gen05",NA,1,165.662078414089,-0.669809203238863,0.81,NA,97,135,23.9833333333333,33.4833333333333,151.134486,143.360351,-0.669809203238863,0.0939157487690124,-0.763724952007875,-0.763724952007875,"umol/L","min",0.15444,NA,0.000160077315058865,NA,NA,NA,-0.117949681588096,NA,-736.829459843969,"umolO2/min/m2",-736.829459843969,"Respiration",400
"Gen06",NA,1,175.800253017303,-1.11826040310756,0.835,NA,97,134,24.0333333333333,33.2833333333333,148.66911,137.778269,-1.11826040310756,0.0939157487690124,-1.21217615187657,-1.21217615187657,"umol/L","min",0.15444,NA,0.000200404146898612,NA,NA,NA,-0.187208484895818,NA,-934.154745762472,"umolO2/min/m2",-934.154745762472,"Respiration",400
"Gen07",NA,1,199.154855189364,-1.28462627683554,0.902,NA,97,134,24.0666666666667,33.3166666666667,168.263261,155.639792,-1.28462627683554,0.0939157487690124,-1.37854202560455,-1.37854202560455,"umol/L","min",0.15444,NA,0.000247913371990863,NA,NA,NA,-0.212902030434367,NA,-858.77590516664,"umolO2/min/m2",-858.77590516664,"Respiration",400
"Gen08",NA,1,174.08452117058,0.10712217651822,0.0558,NA,97,135,23.9166666666667,33.4166666666667,175.87285,177.883218,0.10712217651822,0.0939157487690124,0.0132064277492073,0.0132064277492073,"umol/L","min",0.15444,NA,0,NA,NA,NA,0.00203960070158758,NA,Inf,"umolO2/min/m2",Inf,"Respiration",400
"Gen01",NA,1,135.181024727396,0.933543633209941,0.924,NA,21,81,4.98333333333333,19.9833333333333,139.149376,154.49847,0.933543633209941,0.0719836555709952,0.861559977638946,0.861559977638946,"umol/L","min",0.15444,NA,0.000247847478474785,NA,NA,NA,0.133059322946559,NA,536.859700027554,"umolO2/min/m2",536.859700027554,"Photosynthesis",400
"Gen02",NA,1,122.961736701301,0.953828470015864,0.928,NA,21,81,5.05,20.05,127.812997,138.773851,0.953828470015864,0.0719836555709952,0.881844814444869,0.881844814444869,"umol/L","min",0.15444,NA,0.000151796696538394,NA,NA,NA,0.136192113142866,NA,897.200770824538,"umolO2/min/m2",897.200770824538,"Photosynthesis",400
