Date	Time_HH:MM:SS	Time_sec	Ch1_O2_15_T0	Ch2_O2_drift	Ch3_O2_drift	Ch4_O2_drift	Ch1_Temp	Ch2_Temp	Ch3_Temp	Ch4_Temp
1/27/2019	14:35:14	0.00	4.3481	4.4336	4.3739	4.4456	27.000	27.000	27.000	27.000
1/27/2019	14:35:17	3.45	4.3502	4.4315	4.3750	4.4451	27.000	27.000	27.000	27.000
1/27/2019	14:35:19	5.08	4.3508	4.4309	4.3735	4.4428	27.000	27.000	27.000	27.000
1/27/2019	14:35:20	6.41	4.3524	4.4324	4.3742	4.4407	27.000	27.000	27.000	27.000
1/27/2019	14:35:22	7.69	4.3550	4.4324	4.3759	4.4399	27.000	27.000	27.000	27.000
1/27/2019	14:35:23	9.02	4.3561	4.4312	4.3740	4.4402	27.000	27.000	27.000	27.000
1/27/2019	14:35:24	10.20	4.3585	4.4317	4.3731	4.4404	27.000	27.000	27.000	27.000
1/27/2019	14:35:26	11.66	4.3569	4.4304	4.3702	4.4406	27.000	27.000	27.000	27.000
1/27/2019	14:35:27	12.89	4.3532	4.4317	4.3705	4.4402	27.000	27.000	27.000	27.000
1/27/2019	14:35:28	14.27	4.3519	4.4314	4.3701	4.4368	27.000	27.000	27.000	27.000
1/27/2019	14:35:29	15.41	4.3494	4.4319	4.3719	4.4354	27.000	27.000	27.000	27.000
1/27/2019	14:35:31	16.89	4.3507	4.4324	4.3712	4.4372	27.000	27.000	27.000	27.000
1/27/2019	14:35:32	18.17	4.3490	4.4340	4.3719	4.4391	27.000	27.000	27.000	27.000
1/27/2019	14:35:34	19.50	4.3501	4.4338	4.3716	4.4410	27.000	27.000	27.000	27.000
1/27/2019	14:35:35	20.91	4.3487	4.4330	4.3733	4.4392	27.000	27.000	27.000	27.000
1/27/2019	14:35:37	22.67	4.3506	4.4314	4.3740	4.4382	27.000	27.000	27.000	27.000
1/27/2019	14:35:38	24.19	4.3483	4.4314	4.3733	4.4340	27.000	27.000	27.000	27.000
1/27/2019	14:35:40	25.77	4.3459	4.4324	4.3728	4.4338	27.000	27.000	27.000	27.000
1/27/2019	14:35:41	27.36	4.3429	4.4321	4.3722	4.4338	27.000	27.000	27.000	27.000
1/27/2019	14:35:43	28.86	4.3424	4.4309	4.3725	4.4336	27.000	27.000	27.000	27.000
1/27/2019	14:35:44	30.25	4.3413	4.4289	4.3724	4.4319	27.000	27.000	27.000	27.000
1/27/2019	14:35:46	31.70	4.3414	4.4254	4.3715	4.4311	27.000	27.000	27.000	27.000
1/27/2019	14:35:47	33.25	4.3403	4.4254	4.3708	4.4311	27.000	27.000	27.000	27.000
1/27/2019	14:35:49	34.78	4.3412	4.4261	4.3711	4.4319	27.000	27.000	27.000	27.000
1/27/2019	14:35:50	36.34	4.3405	4.4289	4.3712	4.4326	27.000	27.000	27.000	27.000
1/27/2019	14:35:52	37.89	4.3363	4.4296	4.3721	4.4339	27.000	27.000	27.000	27.000
1/27/2019	14:35:54	39.89	4.3337	4.4317	4.3721	4.4346	27.000	27.000	27.000	27.000
1/27/2019	14:35:56	42.31	4.3318	4.4340	4.3720	4.4331	27.000	27.000	27.000	27.000
1/27/2019	14:35:58	44.00	4.3319	4.4352	4.3705	4.4341	27.000	27.000	27.000	27.000
1/27/2019	14:35:59	45.44	4.3365	4.4351	4.3694	4.4295	27.000	27.000	27.000	27.000
1/27/2019	14:36:01	46.52	4.3370	4.4326	4.3696	4.4285	27.000	27.000	27.000	27.000
1/27/2019	14:36:02	47.72	4.3420	4.4304	4.3700	4.4262	27.000	27.000	27.000	27.000
1/27/2019	14:36:03	48.98	4.3398	4.4286	4.3705	4.4283	27.000	27.000	27.000	27.000
