RecNum	DateTime	Fagatele_Shallow_ODU
233	03/10/22 12:00:00 AM	29.464
234	03/10/22 12:15:00 AM	29.464
235	03/10/22 12:30:00 AM	29.464
236	03/10/22 12:45:00 AM	29.464
237	03/10/22 01:00:00 AM	29.464
238	03/10/22 01:15:00 AM	29.464
239	03/10/22 01:30:00 AM	29.464
240	03/10/22 01:45:00 AM	29.464
241	03/10/22 02:00:00 AM	29.464
242	03/10/22 02:15:00 AM	29.464
243	03/10/22 02:30:00 AM	29.439
244	03/10/22 02:45:00 AM	29.464
245	03/10/22 03:00:00 AM	29.439
246	03/10/22 03:15:00 AM	29.439
247	03/10/22 03:30:00 AM	29.439
248	03/10/22 03:45:00 AM	29.439
249	03/10/22 04:00:00 AM	29.439
250	03/10/22 04:15:00 AM	29.439
251	03/10/22 04:30:00 AM	29.439
252	03/10/22 04:45:00 AM	29.414
253	03/10/22 05:00:00 AM	29.414
254	03/10/22 05:15:00 AM	29.389
255	03/10/22 05:30:00 AM	29.389
256	03/10/22 05:45:00 AM	29.389
257	03/10/22 06:00:00 AM	29.365
258	03/10/22 06:15:00 AM	29.365
259	03/10/22 06:30:00 AM	29.389
260	03/10/22 06:45:00 AM	29.365
261	03/10/22 07:00:00 AM	29.365
262	03/10/22 07:15:00 AM	29.365
263	03/10/22 07:30:00 AM	29.365
264	03/10/22 07:45:00 AM	29.365
265	03/10/22 08:00:00 AM	29.389
266	03/10/22 08:15:00 AM	29.389
267	03/10/22 08:30:00 AM	29.414
268	03/10/22 08:45:00 AM	29.414
269	03/10/22 09:00:00 AM	29.439
270	03/10/22 09:15:00 AM	29.439
271	03/10/22 09:30:00 AM	29.439
272	03/10/22 09:45:00 AM	29.439
273	03/10/22 10:00:00 AM	29.439
274	03/10/22 10:15:00 AM	29.464
275	03/10/22 10:30:00 AM	29.464
276	03/10/22 10:45:00 AM	29.464
277	03/10/22 11:00:00 AM	29.464
278	03/10/22 11:15:00 AM	29.464
279	03/10/22 11:30:00 AM	29.464
280	03/10/22 11:45:00 AM	29.490
281	03/10/22 12:00:00 PM	29.490
282	03/10/22 12:15:00 PM	29.464
283	03/10/22 12:30:00 PM	29.490
284	03/10/22 12:45:00 PM	29.490
285	03/10/22 01:00:00 PM	29.515
286	03/10/22 01:15:00 PM	29.490
287	03/10/22 01:30:00 PM	29.515
288	03/10/22 01:45:00 PM	29.515
289	03/10/22 02:00:00 PM	29.515
290	03/10/22 02:15:00 PM	29.515
291	03/10/22 02:30:00 PM	29.515
292	03/10/22 02:45:00 PM	29.515
293	03/10/22 03:00:00 PM	29.515
294	03/10/22 03:15:00 PM	29.490
295	03/10/22 03:30:00 PM	29.515
296	03/10/22 03:45:00 PM	29.515
297	03/10/22 04:00:00 PM	29.490
298	03/10/22 04:15:00 PM	29.490
299	03/10/22 04:30:00 PM	29.490
300	03/10/22 04:45:00 PM	29.490
301	03/10/22 05:00:00 PM	29.515
302	03/10/22 05:15:00 PM	29.515
303	03/10/22 05:30:00 PM	29.515
304	03/10/22 05:45:00 PM	29.490
305	03/10/22 06:00:00 PM	29.490
306	03/10/22 06:15:00 PM	29.515
307	03/10/22 06:30:00 PM	29.515
308	03/10/22 06:45:00 PM	29.515
309	03/10/22 07:00:00 PM	29.490
310	03/10/22 07:15:00 PM	29.464
311	03/10/22 07:30:00 PM	29.464
312	03/10/22 07:45:00 PM	29.464
313	03/10/22 08:00:00 PM	29.464
314	03/10/22 08:15:00 PM	29.464
315	03/10/22 08:30:00 PM	29.464
316	03/10/22 08:45:00 PM	29.439
317	03/10/22 09:00:00 PM	29.439
318	03/10/22 09:15:00 PM	29.464
319	03/10/22 09:30:00 PM	29.464
320	03/10/22 09:45:00 PM	29.439
321	03/10/22 10:00:00 PM	29.439
322	03/10/22 10:15:00 PM	29.439
323	03/10/22 10:30:00 PM	29.439
324	03/10/22 10:45:00 PM	29.439
325	03/10/22 11:00:00 PM	29.439
326	03/10/22 11:15:00 PM	29.414
327	03/10/22 11:30:00 PM	29.414
328	03/10/22 11:45:00 PM	29.414
329	03/11/22 12:00:00 AM	29.414
330	03/11/22 12:15:00 AM	29.414
331	03/11/22 12:30:00 AM	29.389
332	03/11/22 12:45:00 AM	29.365
333	03/11/22 01:00:00 AM	29.365
334	03/11/22 01:15:00 AM	29.389
335	03/11/22 01:30:00 AM	29.389
336	03/11/22 01:45:00 AM	29.389
337	03/11/22 02:00:00 AM	29.389
338	03/11/22 02:15:00 AM	29.389
339	03/11/22 02:30:00 AM	29.389
340	03/11/22 02:45:00 AM	29.389
341	03/11/22 03:00:00 AM	29.365
342	03/11/22 03:15:00 AM	29.389
343	03/11/22 03:30:00 AM	29.389
344	03/11/22 03:45:00 AM	29.414
345	03/11/22 04:00:00 AM	29.414
346	03/11/22 04:15:00 AM	29.414
347	03/11/22 04:30:00 AM	29.365
348	03/11/22 04:45:00 AM	29.340
349	03/11/22 05:00:00 AM	29.340
350	03/11/22 05:15:00 AM	29.365
351	03/11/22 05:30:00 AM	29.389
352	03/11/22 05:45:00 AM	29.389
353	03/11/22 06:00:00 AM	29.365
354	03/11/22 06:15:00 AM	29.365
355	03/11/22 06:30:00 AM	29.365
356	03/11/22 06:45:00 AM	29.365
357	03/11/22 07:00:00 AM	29.365
358	03/11/22 07:15:00 AM	29.389
359	03/11/22 07:30:00 AM	29.414
360	03/11/22 07:45:00 AM	29.414
361	03/11/22 08:00:00 AM	29.414
362	03/11/22 08:15:00 AM	29.439
363	03/11/22 08:30:00 AM	29.439
364	03/11/22 08:45:00 AM	29.439
365	03/11/22 09:00:00 AM	29.439
366	03/11/22 09:15:00 AM	29.464
367	03/11/22 09:30:00 AM	29.464
368	03/11/22 09:45:00 AM	29.464
369	03/11/22 10:00:00 AM	29.439
370	03/11/22 10:15:00 AM	29.439
371	03/11/22 10:30:00 AM	29.464
372	03/11/22 10:45:00 AM	29.464
373	03/11/22 11:00:00 AM	29.464
374	03/11/22 11:15:00 AM	29.464
375	03/11/22 11:30:00 AM	29.464
376	03/11/22 11:45:00 AM	29.490
377	03/11/22 12:00:00 PM	29.464
378	03/11/22 12:15:00 PM	29.464
379	03/11/22 12:30:00 PM	29.490
380	03/11/22 12:45:00 PM	29.464
381	03/11/22 01:00:00 PM	29.464
382	03/11/22 01:15:00 PM	29.464
383	03/11/22 01:30:00 PM	29.464
384	03/11/22 01:45:00 PM	29.490
385	03/11/22 02:00:00 PM	29.464
386	03/11/22 02:15:00 PM	29.490
387	03/11/22 02:30:00 PM	29.490
388	03/11/22 02:45:00 PM	29.490
389	03/11/22 03:00:00 PM	29.490
390	03/11/22 03:15:00 PM	29.515
391	03/11/22 03:30:00 PM	29.515
392	03/11/22 03:45:00 PM	29.540
393	03/11/22 04:00:00 PM	29.540
394	03/11/22 04:15:00 PM	29.540
395	03/11/22 04:30:00 PM	29.540
