millis,type,message
14075,DEBUG,SD Card init SUCCESS!
14096,DEBUG,ext ram fail reset count: 0
14112,INFO,session id: 353
14123,INFO,reset source: 1
14139,INFO,Device Id: 65477320
14159,INFO,Firmware SHA: 93CE0B95
14178,INFO,MAX_SAMPLE_GAP_S: 3.00
14190,INFO,SPIKE_G_TH: 3.00
14196,INFO,MAX_MESSAGE_LEN_FULL: 301
14202,INFO,MAX_MESSAGE_LEN_BASIC: 51
14211,INFO,MAX_MESSAGE_LEN_SM: 341
14215,INFO,MESSAGE_QUEUE_LEN: 10
14221,INFO,STRICT_NMEA: 1
14227,INFO,MAIN_DECK_HW_VERSION: 7
14233,INFO,F_MIN: 0.03
14243,INFO,F_MAX: 0.80
14260,INFO, sysConfig | sd reset max: 5
14272,INFO, sysConfig | wd enable: 1
14280,INFO, sysConfig | prod log mode: 1
14288,INFO, sysConfig | log filt sd: 1
14297,INFO, sysConfig | log gps sd: 1
14305,INFO, sysConfig | gps log lvl: 0
14313,INFO, sysConfig | log pow sd: 1
14321,INFO, sysConfig | log nmea sd: 1
14329,INFO, sysConfig | log irid sd: 1
14338,INFO, sysConfig | log fft sd: 1
14346,INFO, sysConfig | log spec sd: 0
14354,INFO, sysConfig | log speca sd: 0
14364,INFO, sysConfig | log dre sd: 1
14374,INFO, sysConfig | log message sd: 1
14385,INFO, sysConfig | statistics mode: 0
14393,INFO, sysConfig | log gmn sd: 1
14401,INFO, sysConfig | min messages period basic: 0
14413,INFO, sysConfig | min messages period full: 0
14426,INFO, sysConfig | gps power lvl: 1
14434,INFO, sysConfig | log gmn 1s: 0
14442,INFO, sysConfig | log bin sd: 0
14450,INFO, sysConfig | message samples basic: 2
14460,INFO, sysConfig | self test: 0
14469,INFO, sysConfig | self test reset max: 2
14483,INFO, sysConfig | vis led enable: 1
14491,INFO, sysConfig | log sst sd: 1
14499,INFO, sysConfig | external hardware reset max: 5
14512,INFO, sysConfig | sst sampling period: 1
14522,INFO, sysConfig | sst n samples to avg: 6
14532,INFO, sysConfig | partition thresh bin: 7
14542,INFO, sysConfig | gps sleep enable: 1
14553,INFO, sysConfig | idle checkin period: 3
14563,INFO, sysConfig | bridge enable: 1
14571,INFO, sysConfig | log smdata sd: 1
14823,INFO,External hw available: 00000100
14854,INFO,Initializing Bridge
17375,INFO,Starting Bridge Self Test
18130,INFO,Bridge initialized
18309,INFO,powerData | solV: 0.00
18331,INFO,powerData | solI: 0.00
18350,INFO,powerData | battV: 2.62
18370,INFO,powerData | battI: -0.10
18391,INFO,powerData | busV: 2.62
18409,INFO,powerData | busI: 0.09
18429,INFO,powerData | BQ status reg: 0
18450,INFO,powerData | Fault reg: 0
18468,INFO,powerData | Charge status: 0
18489,INFO,powerData | DPM status: 0
18515,INFO,Loaded OP MODE: 40962
18601,DEBUG,Iridium fail reset count: 0
