millis,type,message
15669,DEBUG,SD Card init SUCCESS!
15687,DEBUG,ext ram fail reset count: 0
15706,INFO,session id: 1157
15716,INFO,reset source: 1
15732,INFO,Device Id: 65477320
15751,INFO,Firmware SHA: 93CE0B95
15769,INFO,MAX_SAMPLE_GAP_S: 3.00
15781,INFO,SPIKE_G_TH: 3.00
15788,INFO,MAX_MESSAGE_LEN_FULL: 301
15796,INFO,MAX_MESSAGE_LEN_BASIC: 51
15804,INFO,MAX_MESSAGE_LEN_SM: 341
15806,INFO,MESSAGE_QUEUE_LEN: 10
15814,INFO,STRICT_NMEA: 1
15818,INFO,MAIN_DECK_HW_VERSION: 7
15826,INFO,F_MIN: 0.03
15835,INFO,F_MAX: 0.80
15851,INFO, sysConfig | sd reset max: 5
15863,INFO, sysConfig | wd enable: 1
15872,INFO, sysConfig | prod log mode: 1
15880,INFO, sysConfig | log filt sd: 1
15890,INFO, sysConfig | log gps sd: 1
15898,INFO, sysConfig | gps log lvl: 0
15906,INFO, sysConfig | log pow sd: 1
15915,INFO, sysConfig | log nmea sd: 1
15923,INFO, sysConfig | log irid sd: 1
15931,INFO, sysConfig | log fft sd: 1
15939,INFO, sysConfig | log spec sd: 0
15947,INFO, sysConfig | log speca sd: 0
15955,INFO, sysConfig | log dre sd: 1
15968,INFO, sysConfig | log message sd: 1
15976,INFO, sysConfig | statistics mode: 0
15986,INFO, sysConfig | log gmn sd: 1
15994,INFO, sysConfig | min messages period basic: 0
16007,INFO, sysConfig | min messages period full: 0
16017,INFO, sysConfig | gps power lvl: 1
16027,INFO, sysConfig | log gmn 1s: 0
16035,INFO, sysConfig | log bin sd: 0
16041,INFO, sysConfig | message samples basic: 2
16054,INFO, sysConfig | self test: 0
16062,INFO, sysConfig | self test reset max: 2
16076,INFO, sysConfig | vis led enable: 1
16084,INFO, sysConfig | log sst sd: 1
16093,INFO, sysConfig | external hardware reset max: 5
16105,INFO, sysConfig | sst sampling period: 1
16115,INFO, sysConfig | sst n samples to avg: 6
16125,INFO, sysConfig | partition thresh bin: 7
16136,INFO, sysConfig | gps sleep enable: 1
16146,INFO, sysConfig | idle checkin period: 3
16156,INFO, sysConfig | bridge enable: 1
16164,INFO, sysConfig | log smdata sd: 1
16414,INFO,External hw available: 00000100
16447,INFO,Initializing Bridge
18968,INFO,Starting Bridge Self Test
20162,INFO,Bridge initialized
20332,INFO,powerData | solV: 5.66
20353,INFO,powerData | solI: 0.03
20373,INFO,powerData | battV: 2.58
20393,INFO,powerData | battI: -0.07
20412,INFO,powerData | busV: 2.54
20432,INFO,powerData | busI: 0.09
20453,INFO,powerData | BQ status reg: 157
20471,INFO,powerData | Fault reg: 0
20492,INFO,powerData | Charge status: 1
20512,INFO,powerData | DPM status: 1
20539,INFO,Loaded OP MODE: 40962
20629,DEBUG,Iridium fail reset count: 0
